Date,Flow,Rain,BOD
2024-01-01,16.8,0.0,186.8
2024-01-02,19.5,0.0,175.1
2024-01-03,19.8,0.5,185.9
2024-01-04,19.7,0.0,199.9
2024-01-05,19.8,0.0,173.4
2024-01-06,17.5,0.0,175.3
2024-01-07,16.7,0.0,203.1
2024-01-08,20.8,0.0,187.7
2024-01-09,21.2,0.5,168.0
2024-01-10,22.8,0.0,182.7
2024-01-11,21.7,0.0,168.5
2024-01-12,21.9,0.0,168.3
2024-01-13,17.6,0.0,182.3
2024-01-14,17.6,1.0,148.5
2024-01-15,21.7,0.0,149.6
2024-01-16,20.9,0.0,167.6
2024-01-17,20.6,5.5,152.9
2024-01-18,19.9,0.0,181.6
2024-01-19,20.8,0.0,162.5
2024-01-20,18.3,0.0,157.0
2024-01-21,17.6,0.0,200.7
2024-01-22,21.2,0.0,172.5
2024-01-23,21.4,0.0,176.7
2024-01-24,22.6,0.0,153.3
2024-01-25,22.2,0.0,166.9
2024-01-26,21.8,0.0,177.0
2024-01-27,19.7,0.0,159.8
2024-01-28,17.9,0.0,184.1
2024-01-29,24.7,0.0,164.0
2024-01-30,30.3,0.0,164.2
2024-01-31,30.3,0.0,159.5
2024-02-01,23.6,0.0,201.7
2024-02-02,21.3,0.0,175.6
2024-02-03,18.4,0.0,162.2
2024-02-04,18.3,0.0,190.5
2024-02-05,20.9,1.5,155.5
2024-02-06,19.6,0.0,180.3
2024-02-07,20.6,0.0,146.9
2024-02-08,20.2,0.0,156.7
2024-02-09,17.2,0.0,182.0
2024-02-10,16.6,0.0,190.6
2024-02-11,16.1,0.0,182.5
2024-02-12,17.2,0.0,177.3
2024-02-13,19.7,0.0,172.5
2024-02-14,20.6,0.0,154.1
2024-02-15,19.9,5.5,157.8
2024-02-16,18.9,0.0,170.8
2024-02-17,16.1,0.0,195.8
2024-02-18,14.5,15.0,163.9
2024-02-19,19.4,8.0,138.8
2024-02-20,17.9,0.5,182.6
2024-02-21,17.5,10.0,158.0
2024-02-22,17.4,4.5,162.0
2024-02-23,17.5,0.0,188.0
2024-02-24,15.6,0.0,195.8
2024-02-25,14.4,0.0,195.2
2024-02-26,18.4,0.0,165.5
2024-02-27,18.0,0.0,173.8
2024-02-28,18.5,0.0,183.0
2024-02-29,19.0,0.0,192.2
